contig_id	mean_contig	cluster_id	nucl_freq.gc	length	NA	color
NODE_10046_length_1943_cov_1.964513	4.234	38	70.4065877509007	1943	1other	1other
NODE_10047_length_1943_cov_1.865466	4.079	38	70.5454545454545	1943	1other	1other
NODE_10048_length_1942_cov_3.406995	8.963	2	68.0226570545829	1942	1other	1other
NODE_10049_length_1942_cov_3.226815	5.159	14	61.3285272914521	1942	1other	1other
NODE_1005_length_37414_cov_20.167349	32.947	34	51.305490027879	37414	1other	1other
NODE_10050_length_1942_cov_3.036566	5.666	38	67.610710607621	1942	1other	1other
NODE_10051_length_1942_cov_2.644939	4.909	21	67.9606625258799	1942	1other	1other
NODE_10052_length_1942_cov_2.458400	4.255	14	60.5590062111801	1942	1other	1other
NODE_10053_length_1942_cov_2.299417	4.082	14	62.1635610766046	1942	1other	1other
NODE_10054_length_1942_cov_2.054054	3.964	14	56.6426364572606	1942	1other	1other
NODE_10055_length_1941_cov_2.758218	5.025	14	62.2993267736924	1941	1other	1other
NODE_10056_length_1941_cov_2.622481	4.279	14	57.4961360123648	1941	1other	1other
NODE_10057_length_1941_cov_2.591729	4.935	14	66.9757856774858	1941	1other	1other
NODE_10058_length_1941_cov_2.446978	4.299	14	57.8974624546867	1941	1other	1other
NODE_10059_length_1940_cov_5.197347	9.012	38	73.6082474226804	1940	1other	1other
NODE_1006_length_37325_cov_21.015079	34.071	34	51.6575103845638	37325	1other	1other
NODE_10060_length_1940_cov_4.358090	6.943	14	62.7319587628866	1940	1other	1other
NODE_10061_length_1940_cov_3.374005	5.403	14	55.8762886597938	1940	1other	1other
NODE_10062_length_1940_cov_3.100265	4.857	14	63.9690721649485	1940	1other	1other
NODE_10063_length_1940_cov_3.005836	5.845	38	67.2538860103627	1940	1other	1other
NODE_10064_length_1940_cov_2.691247	5.41	38	71.8556701030928	1940	1other	1other
NODE_10065_length_1940_cov_2.533687	4.329	38	68.1443298969072	1940	1other	1other
NODE_10066_length_1940_cov_2.312467	4.612	38	74.1237113402062	1940	1other	1other
NODE_10067_length_1939_cov_4.536093	9.384	2	66.7354306343476	1939	1other	1other
NODE_10068_length_1939_cov_3.702760	9.219	2	68.4373388344507	1939	1other	1other
NODE_10069_length_1939_cov_3.520701	7.248	2	67.6121712222795	1939	1other	1other
NODE_1007_length_37263_cov_20.850220	33.813	34	50.929876821512	37263	1other	1other
NODE_10070_length_1939_cov_2.714968	6.224	14	64.7240845796803	1939	1other	1other
NODE_10071_length_1939_cov_2.442675	4.696	2	66.8901495616297	1939	1other	1other
NODE_10072_length_1939_cov_2.367834	5.68	38	68.9994815966822	1939	1other	1other
NODE_10073_length_1939_cov_2.314225	3.659	38	67.4058793192367	1939	1other	1other
NODE_10074_length_1939_cov_2.196391	4.653	38	71.1767755313634	1939	1other	1other
NODE_10075_length_1939_cov_1.807325	2.998	14	58.6832555728357	1939	1other	1other
NODE_10076_length_1938_cov_3.877323	7.857	2	67.6986584107327	1938	1other	1other
NODE_10077_length_1938_cov_3.680828	6.211	38	63.828689370485	1938	1other	1other
NODE_10078_length_1938_cov_3.079660	4.835	14	56.656346749226	1938	1other	1other
NODE_10079_length_1938_cov_2.992565	6.305	38	71.8266253869969	1938	1other	1other
NODE_1008_length_37215_cov_20.692196	33.504	34	50.2378073357517	37215	1other	1other
NODE_10080_length_1938_cov_2.847584	5.164	38	67.750257997936	1938	1other	1other
NODE_10081_length_1938_cov_2.812533	5.714	38	64.7574819401445	1938	1other	1other
NODE_10082_length_1938_cov_2.150292	3.526	38	66.8730650154799	1938	1other	1other
NODE_10083_length_1938_cov_2.140202	3.608	12	69.453044375645	1938	1other	1other
NODE_10084_length_1938_cov_1.884758	3.501	38	66.2344398340249	1938	1other	1other
NODE_10085_length_1937_cov_13.285335	20.527	31	69.5405265875064	1937	1other	1other
NODE_10086_length_1937_cov_5.171095	8.094	14	56.7888487351575	1937	1other	1other
NODE_10087_length_1937_cov_2.984060	5.42	38	66.9592152813629	1937	1other	1other
NODE_10088_length_1937_cov_2.769926	4.677	14	58.182756840475	1937	1other	1other
NODE_10089_length_1937_cov_2.726355	4.725	14	62.2729631551635	1937	1other	1other
NODE_1009_length_37153_cov_105.188016	172.538666666667	4	62.5575323661615	37153	1other	1other
NODE_10090_length_1937_cov_2.505313	5.701	38	66.9075890552401	1937	1other	1other
NODE_10091_length_1937_cov_2.314028	3.825	14	55.3433144037171	1937	1other	1other
NODE_10092_length_1936_cov_18.585859	30.527	8	10.8987603305785	1936	ascomycete	ascomycete
NODE_10093_length_1936_cov_15.419458	26.273	31	64.9793388429752	1936	1other	1other
NODE_10094_length_1936_cov_7.389686	9.628	14	62.396694214876	1936	1other	1other
NODE_10095_length_1936_cov_4.746943	7.48	38	66.7355371900826	1936	1other	1other
NODE_10096_length_1936_cov_2.179692	3.741	38	67.7685950413223	1936	1other	1other
NODE_10097_length_1935_cov_6.778191	11.263	2	67.390180878553	1935	1other	1other
NODE_10098_length_1935_cov_6.745745	11.85	21	62.5839793281654	1935	1other	1other
NODE_10099_length_1935_cov_3.673936	6.752	38	71.9896640826873	1935	1other	1other
NODE_101_length_219764_cov_21.151082	34.2627142857143	34	50.7634387063879	219764	1other	1other
NODE_1010_length_37146_cov_20.502224	32.98	34	51.5560221827384	37146	1other	1other
NODE_10100_length_1935_cov_2.798404	5.397	38	72.609819121447	1935	1other	1other
NODE_10101_length_1935_cov_2.775532	4.482	14	55.1688311688312	1935	1other	1other
NODE_10102_length_1935_cov_2.437234	4.655	12	70.8010335917313	1935	1other	1other
NODE_10103_length_1934_cov_2.650346	4.491	16	60.2378490175801	1934	1other	1other
NODE_10104_length_1934_cov_2.517296	4.637	14	66.0806618407446	1934	1other	1other
NODE_10105_length_1934_cov_2.312400	5.005	2	66.5977249224405	1934	1other	1other
NODE_10106_length_1933_cov_23.807242	31.27	11	49.3533367822038	1933	1other	1other
NODE_10107_length_1933_cov_4.331203	8.619	38	69.4774961200207	1933	1other	1other
NODE_10108_length_1933_cov_3.514377	5.689	14	60.0103466114847	1933	1other	1other
NODE_10109_length_1933_cov_3.435570	5.875	38	67.4081738230729	1933	1other	1other
NODE_1011_length_36914_cov_11.219973	18.5276666666667	7	63.8456954001192	36914	1other	1other
NODE_10110_length_1932_cov_4.170485	8.681	12	67.4430641821946	1932	1other	1other
NODE_10111_length_1932_cov_3.128929	5.508	2	64.8550724637681	1932	1other	1other
NODE_10112_length_1932_cov_2.675546	4.307	14	59.5755693581781	1932	1other	1other
NODE_10113_length_1932_cov_2.434736	4.395	2	62.7846790890269	1932	1other	1other
NODE_10114_length_1931_cov_4.523454	9.213	2	63.9564992232004	1931	1other	1other
NODE_10115_length_1931_cov_3.842751	6.911	38	68.4101501812532	1931	1other	1other
NODE_10116_length_1931_cov_3.462687	5.448	14	52.3562920766442	1931	1other	1other
NODE_10117_length_1931_cov_3.338486	7.072	2	66.5458311755567	1931	1other	1other
NODE_10118_length_1931_cov_3.052772	5.3	38	70.9476954945624	1931	1other	1other
NODE_10119_length_1931_cov_2.300107	4.216	38	72.4102030192608	1931	1other	1other
NODE_1012_length_36907_cov_21.022061	34.1843333333333	34	51.9684612675102	36907	1other	1other
NODE_10120_length_1931_cov_2.281450	4.062	38	62.972553081305	1931	1other	1other
NODE_10121_length_1931_cov_2.186034	4.219	14	64.2595499738357	1931	1other	1other
NODE_10122_length_1931_cov_2.129531	3.751	38	71.3102019678923	1931	1other	1other
NODE_10123_length_1931_cov_2.099680	4.674	38	68.5655100983946	1931	1other	1other
NODE_10124_length_1930_cov_8.592533	16.564	31	72.279792746114	1930	1other	1other
NODE_10125_length_1930_cov_3.937600	8.835	2	65.3886010362694	1930	1other	1other
NODE_10126_length_1930_cov_3.303467	5.492	14	64.8704663212435	1930	1other	1other
NODE_10127_length_1930_cov_3.277867	6.911	21	70.1036269430052	1930	1other	1other
NODE_10128_length_1930_cov_3.226667	6.312	38	68.9637305699482	1930	1other	1other
NODE_10129_length_1930_cov_3.139200	6.299	38	71.0362694300518	1930	1other	1other
NODE_1013_length_36846_cov_6.551032	11.6433333333333	5	65.3585192422515	36846	1other	1other
NODE_10130_length_1930_cov_2.604800	4.706	38	72.5520833333333	1930	1other	1other
NODE_10131_length_1930_cov_2.429867	4.12	21	65.2604166666667	1930	1other	1other
NODE_10132_length_1929_cov_25.955176	42.295	8	15.3965785381026	1929	ascomycete	ascomycete
NODE_10133_length_1929_cov_3.469584	5.698	14	61.8973561430793	1929	1other	1other
NODE_10134_length_1929_cov_2.916222	5.506	2	63.2970451010886	1929	1other	1other
NODE_10135_length_1929_cov_2.573106	4.182	14	56.4541213063764	1929	1other	1other
NODE_10136_length_1929_cov_2.489861	4.207	14	58.3203732503888	1929	1other	1other
NODE_10137_length_1929_cov_2.344717	5.217	38	68.2218766200104	1929	1other	1other
NODE_10138_length_1929_cov_2.045891	3.961	12	71.5914981855884	1929	1other	1other
NODE_10139_length_1928_cov_3.926855	6.607	38	71.2136929460581	1928	1other	1other
NODE_1014_length_36843_cov_21.571898	34.6963333333333	34	50.7260537958364	36843	1other	1other
NODE_10140_length_1928_cov_3.817939	6.3	14	56.3278008298755	1928	1other	1other
NODE_10141_length_1928_cov_2.982915	7.72	2	69.3464730290456	1928	1other	1other
NODE_10142_length_1928_cov_2.748532	4.741	12	70.9593326381648	1928	1other	1other
NODE_10143_length_1928_cov_2.693540	4.511	38	63.6079249217935	1928	1other	1other
NODE_10144_length_1928_cov_2.365723	4.499	38	68.6203319502075	1928	1other	1other
NODE_10145_length_1927_cov_4.644765	8.939	38	68.3445770627919	1927	1other	1other
NODE_10146_length_1927_cov_2.772436	6.774	2	68.759730150493	1927	1other	1other
NODE_10147_length_1927_cov_2.742521	4.706	38	72.3923196678775	1927	1other	1other
NODE_10148_length_1927_cov_2.313568	4.723	38	67.0839853938445	1927	1other	1other
NODE_10149_length_1927_cov_1.873397	4.071	12	70.9911779968863	1927	1other	1other
NODE_1015_length_36813_cov_5.793759	9.74133333333333	7	61.6168201450575	36813	1other	1other
NODE_10150_length_1926_cov_3.998931	7.94	2	68.0166147455867	1926	1other	1other
NODE_10151_length_1926_cov_3.089257	5.998	38	67.9646936656282	1926	1other	1other
NODE_10152_length_1926_cov_2.685730	4.937	2	60.539979231568	1926	1other	1other
NODE_10153_length_1925_cov_3.702139	9.068	2	67.7402597402597	1925	1other	1other
NODE_10154_length_1925_cov_2.865775	5.06	38	65.4830287206266	1925	1other	1other
NODE_10155_length_1925_cov_2.830481	5.062	14	62.2337662337662	1925	1other	1other
NODE_10156_length_1925_cov_2.747594	4.637	38	68.7792207792208	1925	1other	1other
NODE_10157_length_1925_cov_2.665775	4.455	14	60.2597402597403	1925	1other	1other
NODE_10158_length_1925_cov_2.401070	4.864	38	68.3116883116883	1925	1other	1other
NODE_10159_length_1925_cov_2.256684	3.897	38	72.1558441558442	1925	1other	1other
NODE_1016_length_36736_cov_23.223167	35.1433333333333	34	50.3647648083624	36736	1other	1other
NODE_10160_length_1925_cov_2.222460	3.831	12	72.6892950391645	1925	1other	1other
NODE_10161_length_1925_cov_2.053476	3.488	14	62.088772845953	1925	1other	1other
NODE_10162_length_1924_cov_4.123060	7.111	38	67.3076923076923	1924	1other	1other
NODE_10163_length_1924_cov_2.848582	5.222	38	70.6860706860707	1924	1other	1other
NODE_10164_length_1924_cov_2.814339	4.514	14	59.1476091476091	1924	1other	1other
NODE_10165_length_1924_cov_2.699839	4.664	38	62.6299376299376	1924	1other	1other
NODE_10166_length_1924_cov_2.423756	4.141	14	60.4989604989605	1924	1other	1other
NODE_10167_length_1924_cov_1.909577	3.185	14	60.5015673981191	1924	1other	1other
NODE_10168_length_1923_cov_4.390257	7.269	14	61.4664586583463	1923	1other	1other
NODE_10169_length_1923_cov_3.124732	6.743	2	69.8387935517421	1923	1other	1other
NODE_1017_length_36580_cov_5.872799	10.0753333333333	7	60.5853391684902	36580	1other	1other
NODE_10170_length_1923_cov_3.105460	5.67	14	65.8346333853354	1923	1other	1other
NODE_10171_length_1923_cov_3.032120	5.363	38	72.8029121164847	1923	1other	1other
NODE_10172_length_1922_cov_5.860204	9.133	14	54.474505723205	1922	1other	1other
NODE_10173_length_1922_cov_4.380825	10.314	2	65.4006243496358	1922	1other	1other
NODE_10174_length_1922_cov_3.435458	8.697	2	69.4588969823101	1922	1other	1other
NODE_10175_length_1922_cov_3.026245	5.084	14	59.6757322175732	1922	1other	1other
NODE_10176_length_1922_cov_2.882164	5.875	38	70.1873048907388	1922	1other	1other
NODE_10177_length_1922_cov_2.655597	4.868	2	60.5619146722164	1922	1other	1other
NODE_10178_length_1922_cov_2.435458	3.849	38	67.2594142259414	1922	1other	1other
NODE_10179_length_1922_cov_2.293519	4.104	14	54.3704474505723	1922	1other	1other
NODE_1018_length_36493_cov_9.674680	15.675	6	61.4486302310884	36493	1other	1other
NODE_10180_length_1922_cov_2.035351	3.507	16	63.7877211238293	1922	1other	1other
NODE_10181_length_1922_cov_1.998393	3.993	14	62.4349635796046	1922	1other	1other
NODE_10182_length_1921_cov_3.735798	7.454	12	76.4185320145757	1921	1other	1other
NODE_10183_length_1921_cov_2.956056	4.881	14	57.6661433804291	1921	1other	1other
NODE_10184_length_1921_cov_2.707395	6.047	12	74.2842269651223	1921	1other	1other
NODE_10185_length_1921_cov_2.291533	5.238	38	67.0484122852681	1921	1other	1other
NODE_10186_length_1921_cov_1.941586	3.2	38	71.7517096265124	1921	1other	1other
NODE_10187_length_1920_cov_3.884182	7.678	38	66.1979166666667	1920	1other	1other
NODE_10188_length_1920_cov_3.765684	7.37	38	69.0625	1920	1other	1other
NODE_10189_length_1920_cov_3.611260	6.133	14	63.2291666666667	1920	1other	1other
NODE_1019_length_36483_cov_30.922669	50.981	25	65.457884494148	36483	1other	1other
NODE_10190_length_1920_cov_3.417158	6.556	14	59.8958333333333	1920	1other	1other
NODE_10191_length_1920_cov_3.398928	5.63	38	75.4166666666667	1920	1other	1other
NODE_10192_length_1920_cov_3.380697	5.7	14	62.8645833333333	1920	1other	1other
NODE_10193_length_1920_cov_3.035925	4.877	14	62.8125	1920	1other	1other
NODE_10194_length_1920_cov_2.904021	5.407	38	69.8429319371728	1920	1other	1other
NODE_10195_length_1920_cov_2.876139	6.36	2	68.90625	1920	1other	1other
NODE_10196_length_1920_cov_2.640214	4.508	38	70.9895833333333	1920	1other	1other
NODE_10197_length_1920_cov_2.325469	3.983	38	64.8167539267016	1920	1other	1other
NODE_10198_length_1920_cov_1.645576	2.709	14	61.4583333333333	1920	1other	1other
NODE_10199_length_1919_cov_25.701717	40.679	8	11.4643043251694	1919	ascomycete	ascomycete
NODE_102_length_219503_cov_20.946858	33.9072857142857	34	51.3770998209429	219503	1other	1other
NODE_1020_length_36419_cov_18.164888	30.0786666666667	25	70.855871934979	36419	1other	1other
NODE_10200_length_1919_cov_3.489270	6.278	14	57.9468473163106	1919	1other	1other
NODE_10201_length_1919_cov_3.232833	6.128	38	64.6690984887963	1919	1other	1other
NODE_10202_length_1919_cov_2.388412	4.38	2	66.1079099004715	1919	1other	1other
NODE_10203_length_1919_cov_2.063305	4.602	2	66.8056279312142	1919	1other	1other
NODE_10204_length_1918_cov_193.244767	303.734	4	54.4316996871741	1918	1other	1other
NODE_10205_length_1918_cov_4.348900	9.569	2	66.162669447341	1918	1other	1other
NODE_10206_length_1918_cov_2.488996	4.857	38	69.5516162669447	1918	1other	1other
NODE_10207_length_1918_cov_2.361245	4.858	14	63.6600625651721	1918	1other	1other
NODE_10208_length_1918_cov_2.356414	4.377	38	68.6131386861314	1918	1other	1other
NODE_10209_length_1918_cov_2.178207	4.023	14	64.4421272158498	1918	1other	1other
NODE_1021_length_36401_cov_42.416772	68.9213333333333	8	20.9032718881349	36401	ascomycete	ascomycete
NODE_10210_length_1918_cov_2.142244	4.166	38	69.3430656934307	1918	1other	1other
NODE_10211_length_1918_cov_2.073001	5.071	14	67.6225234619395	1918	1other	1other
NODE_10212_length_1918_cov_1.924316	3.878	38	71.6457023060797	1918	1other	1other
NODE_10213_length_1917_cov_3.311493	5.542	14	54.9029889879392	1917	1other	1other
NODE_10214_length_1917_cov_3.228786	5.332	14	62.0239958268127	1917	1other	1other
NODE_10215_length_1917_cov_3.003759	4.888	2	69.0662493479395	1917	1other	1other
NODE_10216_length_1917_cov_2.656821	4.501	14	60.5663345568956	1917	1other	1other
NODE_10217_length_1916_cov_16.879635	26.623	0	60.1774530271399	1916	1other	1other
NODE_10218_length_1916_cov_3.760344	7.221	38	70.0939457202505	1916	1other	1other
NODE_10219_length_1916_cov_3.300913	5.507	14	56.3483735571878	1916	1other	1other
NODE_1022_length_36200_cov_6.930668	12.2596666666667	5	65.6132596685083	36200	1other	1other
NODE_10220_length_1916_cov_3.081677	6.259	2	62.2770199370409	1916	1other	1other
NODE_10221_length_1916_cov_2.199893	3.548	38	63.4133611691023	1916	1other	1other
NODE_10222_length_1915_cov_4.989785	11.545	2	66.3185378590078	1915	1other	1other
NODE_10223_length_1915_cov_4.174194	8.113	38	71.644908616188	1915	1other	1other
NODE_10224_length_1915_cov_3.076882	5.49	14	63.3942558746736	1915	1other	1other
NODE_10225_length_1915_cov_2.940860	5.974	38	67.6115485564304	1915	1other	1other
NODE_10226_length_1915_cov_2.483333	4.011	7	54.0469973890339	1915	1other	1other
NODE_10227_length_1915_cov_2.402151	4.876	12	73.6814621409922	1915	1other	1other
NODE_10228_length_1914_cov_428.598709	667.06	31	63.8453500522466	1914	1other	1other
NODE_10229_length_1914_cov_10.190425	15.941	2	63.5841170323929	1914	1other	1other
NODE_1023_length_36188_cov_20.618133	33.26	34	51.3540400132641	36188	1other	1other
NODE_10230_length_1914_cov_2.945132	5.808	38	73.5109717868338	1914	1other	1other
NODE_10231_length_1914_cov_2.619150	5.041	38	71.6386554621849	1914	1other	1other
NODE_10232_length_1914_cov_2.257127	4.253	14	62.8151260504202	1914	1other	1other
NODE_10233_length_1913_cov_45.412271	71.677	31	64.4014636696289	1913	1other	1other
NODE_10234_length_1913_cov_3.347686	5.84	14	65.8128593831678	1913	1other	1other
NODE_10235_length_1913_cov_3.110872	4.971	14	55.5148980658651	1913	1other	1other
NODE_10236_length_1913_cov_3.033369	5.298	12	72.0966894377299	1913	1other	1other
NODE_10237_length_1913_cov_2.439182	4.699	38	63.3037114479875	1913	1other	1other
NODE_10238_length_1913_cov_2.383208	4.384	38	60.3240982749608	1913	1other	1other
NODE_10239_length_1913_cov_2.364909	4.021	14	58.3201267828843	1913	1other	1other
NODE_1024_length_36097_cov_21.184091	34.344	34	52.1095935950356	36097	1other	1other
NODE_10240_length_1913_cov_2.340689	3.984	14	61.996863565081	1913	1other	1other
NODE_10241_length_1913_cov_1.875135	3.664	14	60.0627286983795	1913	1other	1other
NODE_10242_length_1913_cov_1.722820	3.127	38	63.9309984317825	1913	1other	1other
NODE_10243_length_1912_cov_25.093700	42.692	8	11.1924686192469	1912	ascomycete	ascomycete
NODE_10244_length_1912_cov_5.189553	8.799	21	69.2991631799163	1912	1other	1other
NODE_10245_length_1912_cov_3.179321	7.65	14	65.9518828451883	1912	1other	1other
NODE_10246_length_1912_cov_2.953689	6.615	12	70.0313807531381	1912	1other	1other
NODE_10247_length_1912_cov_2.034464	3.497	14	65.9518828451883	1912	1other	1other
NODE_10248_length_1911_cov_28.052263	37.302	11	52.6949241234956	1911	1other	1other
NODE_10249_length_1911_cov_3.702586	6.223	38	70.4892162019989	1911	1other	1other
NODE_1025_length_36008_cov_6.050705	10.0793333333333	7	62.2667185069984	36008	1other	1other
NODE_10250_length_1911_cov_3.403017	6.18	12	73.9403453689168	1911	1other	1other
NODE_10251_length_1911_cov_2.957435	5.056	14	64.3642072213501	1911	1other	1other
NODE_10252_length_1911_cov_2.846983	4.951	16	61.119832548404	1911	1other	1other
NODE_10253_length_1911_cov_1.653556	2.853	38	64.6781789638932	1911	1other	1other
NODE_10254_length_1910_cov_4.531536	10.071	2	62.2513089005236	1910	1other	1other
NODE_10255_length_1910_cov_3.870081	6.747	38	68.0628272251309	1910	1other	1other
NODE_10256_length_1910_cov_3.659838	6.269	14	63.5263157894737	1910	1other	1other
NODE_10257_length_1910_cov_3.362264	5.373	14	61.0994764397906	1910	1other	1other
NODE_10258_length_1910_cov_2.601617	4.531	38	65.4450261780105	1910	1other	1other
NODE_10259_length_1909_cov_3.241100	6.248	2	65.1126244106862	1909	1other	1other
NODE_1026_length_35987_cov_75.002282	117.52	22	47.7700280656904	35987	ascomycete	ascomycete
NODE_10260_length_1909_cov_3.139698	5.023	14	60.8171817705605	1909	1other	1other
NODE_10261_length_1909_cov_3.070658	5.038	14	62.2959452343339	1909	1other	1other
NODE_10262_length_1909_cov_2.993528	5.796	12	71.9748559455212	1909	1other	1other
NODE_10263_length_1909_cov_2.940669	5.389	14	66.7888947092719	1909	1other	1other
NODE_10264_length_1909_cov_2.741100	5.194	14	63.855421686747	1909	1other	1other
NODE_10265_length_1909_cov_2.491909	4.705	38	69.6699842849659	1909	1other	1other
NODE_10266_length_1909_cov_2.284250	3.882	38	67.5222629649031	1909	1other	1other
NODE_10267_length_1908_cov_4.706962	11.694	12	70.8071278825996	1908	1other	1other
NODE_10268_length_1908_cov_3.722612	7.949	38	67.5052410901468	1908	1other	1other
NODE_10269_length_1908_cov_3.425256	5.718	14	62.5262054507338	1908	1other	1other
NODE_1027_length_35977_cov_21.691665	34.9666666666667	34	49.6233704866998	35977	1other	1other
NODE_10270_length_1908_cov_2.396114	4.316	38	63.8888888888889	1908	1other	1other
NODE_10271_length_1908_cov_2.276848	3.932	12	70.7060063224447	1908	1other	1other
NODE_10272_length_1907_cov_4.561015	7.71	38	70.0576822233875	1907	1other	1other
NODE_10273_length_1907_cov_4.204104	7.152	38	75.5637126376508	1907	1other	1other
NODE_10274_length_1907_cov_3.637689	6.239	14	60.5138961719979	1907	1other	1other
NODE_10275_length_1907_cov_3.237041	5.511	38	70.1101206082853	1907	1other	1other
NODE_10276_length_1907_cov_2.985961	6.346	14	63.2931305715784	1907	1other	1other
NODE_10277_length_1907_cov_2.650108	4.259	14	60.7236497115889	1907	1other	1other
NODE_10278_length_1907_cov_2.622570	4.607	38	73.466177241741	1907	1other	1other
NODE_10279_length_1907_cov_2.585853	3.998	14	54.9815498154982	1907	1other	1other
NODE_1028_length_35969_cov_73.490394	119.635333333333	22	50.1515193638967	35969	ascomycete	ascomycete
NODE_10280_length_1906_cov_5.132361	9.283	21	70.199370409234	1906	1other	1other
NODE_10281_length_1906_cov_3.773636	5.998	14	57.964135021097	1906	1other	1other
NODE_10282_length_1906_cov_3.143166	5.68	2	62.8016789087093	1906	1other	1other
NODE_10283_length_1906_cov_2.271205	4.534	38	66.211962224554	1906	1other	1other
NODE_10284_length_1905_cov_1013.690270	1670.294	31	50.1312335958005	1905	1other	1other
NODE_10285_length_1905_cov_5.791351	8.949	14	55.2230971128609	1905	1other	1other
NODE_10286_length_1905_cov_3.827027	6.322	14	59.737532808399	1905	1other	1other
NODE_10287_length_1905_cov_3.272973	5.388	14	62.0472440944882	1905	1other	1other
